,Address,Bathrooms,Bedrooms,Home Size,Lat,Lon,Property Size,Year Built,Zestimate,Zipcode,count_zillow,latitude,longitude,review_count,stars,count_yelp,avg_review,avg_stars,lat,lon,count_school,enrollment,private_school,public_school,charter_school,total_school
1827,1636 W BLUEFIELD AVE,2.0,3.0,1272.0,33.65,-112.1,7980.0,1973.0,225795.0,85023,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.65,-112.1,1.0,470.0,0.0,1.0,0.0,1.0
1828,1839 E HUBBELL ST,1.0,0.0,1422.0,33.47,-112.04,7806.0,1952.0,224914.0,85006,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1829,7031 N 23RD ST,2.67,0.0,2302.0,33.54,-112.03,10411.0,1969.0,649119.0,85020,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1830,2314 E ORANGEWOOD AVE,2.0,2.0,1870.0,33.55,-112.03,10005.0,1971.0,474259.0,85020,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1831,3535 W TAYLOR ST,1.0,0.0,976.0,33.45,-112.14,6432.0,1940.0,101811.0,85009,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1832,2141 W MAPLE DR,2.0,0.0,2176.0,33.66,-112.11,8122.0,1975.0,276225.0,85027,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1833,6349 W CYPRESS ST,2.0,4.0,1064.0,33.47,-112.2,6647.0,1972.0,171462.0,85035,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1834,2209 W EAGLE FEATHER RD,3.67,0.0,2408.0,33.79,-112.11,8400.0,2005.0,367085.0,85085,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1835,1325 W ROMA AVE,1.75,4.0,1376.0,33.5,-112.09,11756.0,1947.0,297549.0,85013,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,-112.09,1.0,49.0,0.0,1.0,0.0,1.0
1836,1702 E ATLANTA AVE,1.0,0.0,900.0,33.4,-112.05,6996.0,1962.0,124233.0,85040,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
