name,type,gradeRange,enrollment,city,state,address,lat,lon,parentRating
All Saints Episcopal Day School,private,PK-8,500,Phoenix,AZ,"6300 N Central Ave, 
Phoenix, AZ  85012",33.52972,-112.0737
Torah High School Of Arizona,private,9-12,21,Phoenix,AZ,"6516 North 7th Street, 
Phoenix, AZ  85014",33.531693,-112.065475
Gompers Habilitation Center,private,1-12,28,Phoenix,AZ,"6601 North 27th Avenue, 
Phoenix, AZ  85017",33.533638,-112.116
Sahuaro School,public,PK-6,599,Phoenix,AZ,"12835 North 33rd Ave, 
Phoenix, AZ  85029",33.6024,-112.129
Cactus Wren Elementary School,public,K-6,529,Phoenix,AZ,"9650 North 39th Ave, 
Phoenix, AZ  85051",33.5743,-112.1436
Madison Traditional Academy,public,K-8,765,Phoenix,AZ,"925 East Maryland Ave, 
Phoenix, AZ  85014",33.531,-112.0618
Moon Valley High School,public,9-12,1521,Phoenix,AZ,"3625 W Cactus Rd, 
Phoenix, AZ  85029",33.595802,-112.13721
Manzanita Elementary School,public,PK-6,797,Phoenix,AZ,"8430 N 39th Ave, 
Phoenix, AZ  85051",33.5591,-112.143,5
Abraham Lincoln Traditional School,public,K-8,616,Phoenix,AZ,"10444 North 39th Ave, 
Phoenix, AZ  85051",33.5813,-112.1442
Sage Academy,charter,K-8,180,Scottsdale,AZ,"10220 N. 25th Ave, 
Scottsdale, AZ  85022",33.6141,-112.0594,4
Montessori Children's School,private,1-4,28,Phoenix,AZ,"516 West Bethany Home Road, 
Phoenix, AZ  85013",33.524143,-112.08091,5
John Jacobs Elementary School,public,K-6,552,Phoenix,AZ,"14421 North 23rd Ave, 
Phoenix, AZ  85023",33.6174,-112.1094
Ss Simon & Jude School,private,PK-8,470,Phoenix,AZ,"6351 North 27th Avenue, 
Phoenix, AZ  85017",33.52982,-112.11652
Ocotillo School,public,K-6,789,Phoenix,AZ,"3225 West Ocotillo Rd, 
Phoenix, AZ  85017",33.5342,-112.128,4
Roadrunner Elementary School,public,K-6,797,Phoenix,AZ,"7702 North 39th Ave, 
Phoenix, AZ  85051",33.5507,-112.1437
Tumbleweed Elementary School,public,PK-6,474,Phoenix,AZ,"4001 West Laurel Ln, 
Phoenix, AZ  85029",33.5937,-112.1445,3
Empower College Prep,charter,3-12,500,Phoenix,AZ,"5757 N Central Ave, 
Phoenix, AZ  85012",33.521866,-112.07346
Phoenix Hebrew Academy,private,K-8,159,Phoenix,AZ,"515 East Bethany Home Road, 
Phoenix, AZ  85012",33.523335,-112.066986
North Pointe Preparatory,charter,7-12,864,Phoenix,AZ,"10215 North 43rd Ave, 
Phoenix, AZ  85051",33.5789,-112.15,5
Painted Rock Academy - Reid Traditional Schools,charter,PK-8,560,Phoenix,AZ,"14800 N. 25th Dr, 
Phoenix, AZ  85023",33.62018,-112.11381
Maya High School,charter,9-12,392,Phoenix,AZ,"3660 West Glendale Ave, 
Phoenix, AZ  85051",33.5399,-112.1379
Madison Rose Lane School,public,PK-5,815,Phoenix,AZ,"1155 East Rose Ln, 
Phoenix, AZ  85014",33.5263,-112.0567
Palo Verde Middle School,public,7-8,925,Phoenix,AZ,"7502 North 39th Ave, 
Phoenix, AZ  85051",33.5464,-112.1435
Acacia Elementary School,public,K-6,772,Phoenix,AZ,"3021 West Evans Dr, 
Phoenix, AZ  85053",33.6162,-112.1238,4
New World Educational Center,charter,K-12,172,Phoenix,AZ,"5818 N. 7th Street, 
Phoenix, AZ  85014",33.522537,-112.064995
Madison Heights Elementary School,public,PK-5,538,Phoenix,AZ,"7150 North 22nd St, 
Phoenix, AZ  85020",33.5414,-112.0353,4
Lookout Mountain School,public,PK-6,1022,Phoenix,AZ,"15 West Coral Gables Dr, 
Phoenix, AZ  85023",33.625,-112.0757
